created_at,id,text,followers_count
Sun Jul 17 23:58:59 +0000 2016,"b'Remember how #wiunion boasted their movement \\u2018inspired\\u2019 #BLM\\u2026Yup, #TheyBuiltThisHate\\u2026.'",391897915,8212
Sun Jul 17 23:58:51 +0000 2016,b'RT @schreink: Curious re teaching #BLM w K-3? \\U0001f440 my vid app for @Tolerance_org #TTaward2016 for ideas https://t.co/7W0hnqoBBp https://t.co/l\\u2026',853975154,2082
Sun Jul 17 23:58:50 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",3301855526,353
Sun Jul 17 23:58:49 +0000 2016,"b""The #BatonRouge shooter may not be a #BLM member, but they're sure encouraging people like him, ready to burst into racist crimes!""",14109618,246
Sun Jul 17 23:58:49 +0000 2016,"b'RT @ungaro: Does @CBSNews remember? February, 2009, new pres. Obama CANCELED U.S. participation in the 1st @UN #antiracism conference since\\u2026'",18342450,3353
Sun Jul 17 23:58:49 +0000 2016,"b""@POTUS #BLM needs your wife's legacy to voice outrage. It's not about skin color, it's about America's oppressively colored past #BatonRouge""",2741751,297
Sun Jul 17 23:58:48 +0000 2016,"b'RT @Conservative220: Also, Nation of #Islam, Black Militant and hater of Whites and #America. #BLM #Racist #POS #GavinLong #BatonRouge http\\u2026'",1266323203,3343
Sun Jul 17 23:58:44 +0000 2016,b'RT @YoungDems4Trump: The nerve these people have is astounding.#BLM\\n#NiceAttack #BatonRougeAttack #DallasPoliceShootings #OrlandoShooting h\\u2026',713091070666493953,373
Sun Jul 17 23:58:44 +0000 2016,"b""@BreitbartNews STFU pantyboy @ShepNewsTeam #BLM #BlackPanthers  shithead Obama all devisive SOB's. Moral majority been sitting 8yrs, no more""",44736578,27
Sun Jul 17 23:58:43 +0000 2016,b'RT @YoungDems4Trump: #BlackLivesMatter just killed two more cops in Baton Rough \\U0001f61e rt if you think #BLM is a terrorist group. This needs to\\u2026',17148456,9415
Sun Jul 17 23:58:43 +0000 2016,b'RT @frankgaffney: Jihadists &amp; #BLM weigh-in in favor of anti-Police rhetoric. Inciting violence to endorse a political message. https://t.c\\u2026',118953812,9136
Sun Jul 17 23:58:41 +0000 2016,b'RT @Massasoit1620: Will the #Fuehrer be holding another meeting tomorrow with @deray &amp; #BLM? #BatonRouge @maddow @HardballChris @bwilliams\\u2026',301212396,1797
Sun Jul 17 23:58:40 +0000 2016,"b'RT @taxmule4u: @AmyMek @TRobinsonNewEra Yep, if your post are generally conservative, anti-HilLIARy, Obama, #BLM, etc. Twitter will shut u\\u2026'",550387620,288
Sun Jul 17 23:58:39 +0000 2016,b'RT @PamelaGeller: Obama hosted #BLM leaders at the WH.#BatonRouge is poison fruit of BHO\\u2019s incitement. Can\\u2019t put genie back in bottle.\\nhttp\\u2026',706189937528303616,79
Sun Jul 17 23:58:38 +0000 2016,"b""RT @RepairMankind: @NBCNews Black terrorists killing cops achieves 1 thing only. Creating stronger, more lethal, more 'shoot first' police\\u2026""",348712931,143
Sun Jul 17 23:58:38 +0000 2016,"b""RT @Babbsgirl2: A Short List of Black Lives Matters' Cop-Killing Heroes \\n\\n#BLM #BlackLivesMatter Are #Terrorist \\n\\nhttps://t.co/V7azvvgrBk v\\u2026""",1280947238,9873
Sun Jul 17 23:58:38 +0000 2016,"b'RT @Lauren_Southern: History will not remember you well #BLM\\n\\nRosa Parks didn\'t twerk in front of the bus in a crop top holding an ""oink oi\\u2026'",86377964,42
Sun Jul 17 23:58:35 +0000 2016,b'RT @DanLoFMass: Militia is a military force that engages in rebel or terrorist activities such as #BLM #NationofIslam #Panthers PLEASE DO S\\u2026',2330881664,3623
Sun Jul 17 23:58:34 +0000 2016,"b""This is so sad. Read this last week.  Why didn't this #BLM? https://t.co/shZ5PVslKC""",22376099,92
Sun Jul 17 23:58:33 +0000 2016,"b""RT @redlanews: Montrell Jackson killed this morning in #BatonRouge by BLM\\n#BLM proving again that for them black lives don't matter https:/\\u2026""",533298876,1498
Sun Jul 17 23:58:31 +0000 2016,b'RT @KLSouth: RT @txlady706: Why is Obama visiting with #Soros? Soros is know to be responsible for the #BLM movement https://t.co/doUA9oYbpt',316161690,3978
Sun Jul 17 23:58:29 +0000 2016,b'FAULTY COPS  &gt;  NO COPS OR UNWILLING COPS\\n\\n#BRShooting #BLM #BatonRouge',4881407763,502
Sun Jul 17 23:58:29 +0000 2016,"b'#BrianWillams ova at @msnbc just said, wrt setup @ the RNC ""the camera sees evrything"" ...not true when it comes to #policebrutality!!! #BLM'",2415183775,104
Sun Jul 17 23:58:28 +0000 2016,b'@DavePinFL people forgetting #BLM is a # group and not an official group like #NAACP  people who are chanting BLM are just saying hear us',4345398076,46
Sun Jul 17 23:58:28 +0000 2016,b'@RealKanyeTwitty @PCiscancerous @PrisonPlanet @yodatwolf and #blm exists to attribute a thing one cop does to all cops.\\nPeople like me huh?',4779414109,901
Sun Jul 17 23:58:28 +0000 2016,b'RT @PamelaGeller: Obama hosted #BLM leaders at the WH.#BatonRouge is poison fruit of BHO\\u2019s incitement. Can\\u2019t put genie back in bottle.\\nhttp\\u2026',3462405673,793
Sun Jul 17 23:58:27 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",1915733623,646
Sun Jul 17 23:58:25 +0000 2016,"b""RT @Babbsgirl2: A Short List of Black Lives Matters' Cop-Killing Heroes \\n\\n#BLM #BlackLivesMatter Are #Terrorist \\n\\nhttps://t.co/V7azvvgrBk v\\u2026""",255645890,10674
Sun Jul 17 23:58:25 +0000 2016,"b'RT @BeladonnaRogers: When you see this photo of #BatonRouge police officer, remember #Potus spent 4.5 HOURS w #BLM leader at White House! h\\u2026'",373150494,1045
Sun Jul 17 23:58:25 +0000 2016,"b""RIP Officer Jackson. Shame that #BLM doesn't apply to you. #EndOfWatch https://t.co/pmpe3OaNYU""",183724512,338
Sun Jul 17 23:58:22 +0000 2016,"b'RT @marstu67: Deray McKesson: in #BatonRouge today"" #BlM \\n""The movement began as a call to end violence. That call remains.: https://t.co/R\\u2026'",17794605,530
Sun Jul 17 23:58:21 +0000 2016,b'RT @YoungDems4Trump: The nerve these people have is astounding.#BLM\\n#NiceAttack #BatonRougeAttack #DallasPoliceShootings #OrlandoShooting h\\u2026',17148456,9415
Sun Jul 17 23:58:21 +0000 2016,"b'@DrDavidDuke i bet it was either strain bullet or ""self defense"" by one of negro #BLM perpetrators'",4900909406,496
Sun Jul 17 23:58:18 +0000 2016,"b""RT @Danielle_Parker: Please like &amp; share if you care abt POLICE lives.Let's start trending #PLM over #BLM 2 show our allegiance!@infowars h\\u2026""",1472608472,30
Sun Jul 17 23:58:18 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",1965865170,148
Sun Jul 17 23:58:17 +0000 2016,"b'RT @Lauren_Southern: History will not remember you well #BLM\\n\\nRosa Parks didn\'t twerk in front of the bus in a crop top holding an ""oink oi\\u2026'",2508160790,116
Sun Jul 17 23:58:17 +0000 2016,"b""RT @pessell_anna: ~Why can't we form a Group w/#BLM Leader @deray &amp; #Police Groups &amp; Come up with #Proactive Solution @marcorubio  https://\\u2026""",3498361641,758
Sun Jul 17 23:58:16 +0000 2016,"b""RT @thomeography: I wouldn't be surprised if these police shootings were staged to justify police violence &amp; discredit #BLM https://t.co/V4\\u2026""",27951530,3264
Sun Jul 17 23:58:16 +0000 2016,b'Obama stirs up racial animus for 7 years. Divided Americans. Cops blood on his hands. As Democrats take a hit now he wants a truce. #BLM',57585071,81
Sun Jul 17 23:58:15 +0000 2016,"b""RT @nekohoshizora: Don't blame the entire #BLM community for the shootings in Dallas, Baton Rouge, etc.""",512458630,1059
Sun Jul 17 23:58:15 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",23145423,329
Sun Jul 17 23:58:14 +0000 2016,"b""RT @redlanews: Montrell Jackson killed this morning in #BatonRouge by BLM\\n#BLM proving again that for them black lives don't matter https:/\\u2026""",1935016112,162
Sun Jul 17 23:58:13 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",4849891627,347
Sun Jul 17 23:58:11 +0000 2016,"b'RT @BeladonnaRogers: When you see this photo of #BatonRouge police officer, remember #Potus spent 4.5 HOURS w #BLM leader at White House! h\\u2026'",110604697,1236
Sun Jul 17 23:58:08 +0000 2016,b'RT @2ALAW: #BLM Must Be Designated A Terrorist And Hate Group Now!!\\n\\nReTweet If You Agree \\n@ChristiChat \\n\\n#2A \\n#Trump https://t.co/qErdxFJu\\u2026',400142857,735
Sun Jul 17 23:58:07 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",345451967,2150
Sun Jul 17 23:58:07 +0000 2016,"b'@BreitbartNews ""All lives matter"" is divisive because ""All"" it includes #BLM and thus making them appear diminished by the whole. (I think)'",174793957,1529
Sun Jul 17 23:58:06 +0000 2016,"b""RT @BraveLad: Obama is such a snake\\u3002He wants us all to tone it down, but doesn't admonish #BLM to stop their violent rhetoric\\u3002#tcot #uniteb\\u2026""",584817873,112
Sun Jul 17 23:58:03 +0000 2016,"b""RT @EsotericCD: So we've established that Baton Rouge murderer was motivated by #BLM-related cop hatred.\\n\\nWhat do we do now?\\n\\nNo really, wh\\u2026""",921460356,2263
Sun Jul 17 23:58:01 +0000 2016,"b'@WalshFreedom @jasonkwatkins #BLM marches to motto ""pigs in a blanket, fry \'em like bacon""-translation: kill cops. Who\'s hating? #LibLogic'",411782446,1249
Sun Jul 17 23:58:01 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",180542862,2184
Sun Jul 17 23:57:59 +0000 2016,"b""RT @LynnePatton: So #BLM says #AllLivesMatter is racist &amp; dismissive.  I don't agree, but Google it.  Therefore, right now, #BlueLivesMatte\\u2026""",171561129,1384
Sun Jul 17 23:57:58 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",28868575,196
Sun Jul 17 23:57:58 +0000 2016,"b""RT @LeahR77: New Black Panthers&gt; An Intimate Look At Who Obama &amp; Hillary Pander To&amp; Gays You're Not Safe Either #BLM #BatonRouge https://t.\\u2026""",16056260,510
Sun Jul 17 23:57:57 +0000 2016,b'@kelownascott @NBCNightlyNews lack of mental health serv &amp; easy access 2 guns appears 2b resp 4 many of these NOT #BLM who want end violence',109536111,1970
Sun Jul 17 23:57:56 +0000 2016,b'RT @2ALAW: #BLM Must Be Designated A Terrorist And Hate Group Now!!\\n\\nReTweet If You Agree \\n@ChristiChat \\n\\n#2A \\n#Trump https://t.co/qErdxFJu\\u2026',403708251,1586
Sun Jul 17 23:57:55 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",2374048657,608
Sun Jul 17 23:57:55 +0000 2016,"b""RT @LynnePatton: So #BLM says #AllLivesMatter is racist &amp; dismissive.  I don't agree, but Google it.  Therefore, right now, #BlueLivesMatte\\u2026""",3073889874,1371
Sun Jul 17 23:57:54 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",3883481772,1234
Sun Jul 17 23:57:52 +0000 2016,b'RT @CapitalismLover: #BLM is a terrorist organization\\n\\nhttps://t.co/C72Bhzv5IT',1144118802,331
Sun Jul 17 23:57:51 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",222299436,1219
Sun Jul 17 23:57:51 +0000 2016,"b'""Straight men, unintentionally or intentionally, have taken the work of queer Black women and erased our contributions."" #BLM @darealmadu'",1282158128,3272
Sun Jul 17 23:57:49 +0000 2016,"b'RT @AskYnow: Fact: Black men shoot Police Officers 18.5 times more frequently than police shoot at them.  H/T Gary Bauer, Bauer &amp; Rose\\nFals\\u2026'",27697345,1215
Sun Jul 17 23:57:47 +0000 2016,"b""@Joe52762140 @FrancesRobles @chrislhayes you didn't even read this. It says nothing about #BLM stop spreading lies""",239650277,1334
Sun Jul 17 23:57:47 +0000 2016,b'RT @K1erry: COZY: #BLM leader lives in home owned by Soros\\u2019 Open Society board member \\n#BatonRouge \\nhttps://t.co/n8seIzYb58 via @american_m\\u2026',26956404,1229
Sun Jul 17 23:57:47 +0000 2016,b'RT @Bonfiredesigns: Worth A Lot Of Money since he hijacked #BLM and rigged it to hurt black americans who paid? Obama Soros Hillary? https:\\u2026',4583867542,774
Sun Jul 17 23:57:47 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",463423541,1539
Sun Jul 17 23:57:44 +0000 2016,"b'RT @TJLyesmith: So Portland, ME police forcibly removed the hijabs of Muslim women arrested during the #BLM protest &amp; then released the pic\\u2026'",15051600,209
Sun Jul 17 23:57:44 +0000 2016,b'RT @Timtravels007: 1st time I heard #BLM they ambushed Bernie podium. Tell me again how this movement is justified? Out-of-control https://\\u2026',727529229068324864,3109
Sun Jul 17 23:57:42 +0000 2016,b'RT @YoungDems4Trump: The nerve these people have is astounding.#BLM\\n#NiceAttack #BatonRougeAttack #DallasPoliceShootings #OrlandoShooting h\\u2026',57655062,1035
Sun Jul 17 23:57:40 +0000 2016,b'RT @AmericanMex067: STOP IGNORING the #Alinsky connection! #BLM is all by design! READ! RT! #StayWoke #BatonRouge #BlueLivesMatter https://\\u2026',703030870358233089,38
Sun Jul 17 23:57:39 +0000 2016,b'RT @dawnellemurray: This is Cleveland!!  These are Bikers for #TRUMP!  GIVE it up #Punks &amp; #Thugs!!  @BLMNational #BLM https://t.co/8qPi8Qu\\u2026',2982647266,234
Sun Jul 17 23:57:37 +0000 2016,"b""@NintraAa okay #blm is just an easy and affective phrase. I'm sorry they didn't feel like calling themselves ...""",229380868,23138
Sun Jul 17 23:57:33 +0000 2016,"b""RT @chriskyleband: #BatonRouge  #GOPinCLE\\n\\n#BLM Didn't Care  \\nMONTRELL JACKSON ( KILLED )\\nPOLICE Officer\\nWho was BLACK and ( BLUE ) https:/\\u2026""",26792503,472
Sun Jul 17 23:57:31 +0000 2016,"b""RT @JulietteAkinyi: Black thugs' lives matter to Black Lives Matter.  #BLM couldn't care less about all other lives, including those of nor\\u2026""",2863062871,379
Sun Jul 17 23:57:31 +0000 2016,b'Fu@k dude those are play guns and you know it. \\nYou just keep defending #BLM and their domestic terrorism.  https://t.co/BTM2Y0UlUr',49470271,2883
Sun Jul 17 23:57:31 +0000 2016,b'RT @GlennBackes: Say his name: Officer Montrell Jackson.  https://t.co/J9pjocmOLo  #BlackLivesMatter #BLM  #igotyou #BatonRouge #Prayers #H\\u2026',15711218,1522
Sun Jul 17 23:57:30 +0000 2016,b'RT @RavenHUWolf: Another #BlackLivesMatter domestic terrorist supporter. \\nThey want more police officers killed\\n#BLM are terrorists\\u2199\\ufe0f https\\u2026',1631460817,648
Sun Jul 17 23:57:30 +0000 2016,"b""RT @thomeography: I wouldn't be surprised if these police shootings were staged to justify police violence &amp; discredit #BLM https://t.co/V4\\u2026""",280296220,808
Sun Jul 17 23:57:29 +0000 2016,b'@stinnett_doug @Roald_J_Larsen @LastGreatStand @sarahpalin @MarkZukerberg #BLM=#BlackLivesMurder',3711628096,21422
Sun Jul 17 23:57:29 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",860311272,999
Sun Jul 17 23:57:29 +0000 2016,b'@andieiamwhoiam #BLM is nothing but racist hatemongering criminals. Any right-thinking blacks need to leave that group immediately.',1056204469,678
Sun Jul 17 23:57:27 +0000 2016,b'@FoxNews @greggutfeld #BlackLivesMatter #BLM @POTUS #AllLivesMatter  If we could read his mind on the golf course .. https://t.co/RaK2XohZjL',530935695,577
Sun Jul 17 23:57:25 +0000 2016,"b'RT @tdaxp: Someone should put #GavinLong &amp; @ZackFord quotes about police &amp; #BLM side by side, see who can tell the difference'",8904482,210
Sun Jul 17 23:57:23 +0000 2016,b'RT @K1erry: COZY: #BLM leader lives in home owned by Soros\\u2019 Open Society board member \\n#BatonRouge \\nhttps://t.co/n8seIzYb58 via @american_m\\u2026',432853114,297
Sun Jul 17 23:57:21 +0000 2016,"b""RT @Babbsgirl2: A Short List of Black Lives Matters' Cop-Killing Heroes \\n\\n#BLM #BlackLivesMatter Are #Terrorist \\n\\nhttps://t.co/V7azvvgrBk v\\u2026""",3536963279,1825
Sun Jul 17 23:57:21 +0000 2016,b'RT @TPISCzar: #AllLivesMatter #BLM #BlackLivesMatter https://t.co/ZyatZLmRZQ',334867471,1115
Sun Jul 17 23:57:20 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",304339617,239
Sun Jul 17 23:57:20 +0000 2016,b'@KingShine777 #AllLivesMatter was created 2 attempt to distract the credibility &amp; importance of #BLM. #AllLivesMatter is not an organization',719968179,749
Sun Jul 17 23:57:18 +0000 2016,b'RT @PamelaGeller: Obama hosted #BLM leaders at the WH.#BatonRouge is poison fruit of BHO\\u2019s incitement. Can\\u2019t put genie back in bottle.\\nhttp\\u2026',259489745,7792
Sun Jul 17 23:57:17 +0000 2016,"b""RT @Babbsgirl2: A Short List of Black Lives Matters' Cop-Killing Heroes \\n\\n#BLM #BlackLivesMatter Are #Terrorist \\n\\nhttps://t.co/V7azvvgrBk v\\u2026""",4197546072,2419
Sun Jul 17 23:57:13 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",3759653953,190
Sun Jul 17 23:57:12 +0000 2016,b'RT @2ALAW: #BLM Must Be Designated A Terrorist And Hate Group Now!!\\n\\nReTweet If You Agree \\n@ChristiChat \\n\\n#2A \\n#Trump https://t.co/qErdxFJu\\u2026',150813360,1523
